dataset,architecture,run_id,created,subset,coords,val_acc,eval_status,overall_accuracy,macro_accuracy,median_class_accuracy,n_classes_below_50pct,train_val_acc,n_landmarks,feature_dim,n_params,n_classes,model_name,streaming,split_strategy,split_random_state,split_n_val,training_regime,training_source,training_epoch_cap,training_epochs_trained,training_best_epoch,training_early_stopped,training_finished,training_wall_time_min,submission_tested,submission_platform,submission_public_score,submission_private_score,submission_submitted_at,submission_reference,hyp_batch_size,hyp_lr,hyp_hidden_size,hyp_num_layers,hyp_dropout,hyp_weight_decay,hyp_epochs,hyp_grad_clip,hyp_lr_factor,hyp_lr_patience,hyp_es_patience,hyp_es_min_delta,hyp_seed,hyp_max_seq_len,hyp_num_workers,hyp_loss,hyp_precision,notes
gislr,bilstm,1784397301,2026-07-18T23:55:01,FP_118,xy,0.7525402201524132,canonical,0.7525402201524132,0.7501010585133796,0.7631578947368421,10.0,0.7526,118,236,2718418,250,BiLSTM,False,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.bilstm.ipynb,300,97,82,True,True,21.0,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,FP_118 subset · regime v2-plateau-300.
gislr,bilstm,1784395799,2026-07-18T23:29:59,ME_126,xy,0.7504233700254022,canonical,0.7504233700254022,0.7483227477711505,0.7639318885448916,10.0,0.7503,126,252,2751218,250,BiLSTM,False,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.bilstm.ipynb,300,54,52,True,True,11.9,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_126 subset · regime v2-plateau-300.
gislr,bilstm,1784396516,2026-07-18T23:41:56,ME_132,xy,0.7475656223539373,canonical,0.7475656223539373,0.7454587849297787,0.7631578947368421,11.0,0.7476,132,264,2775818,250,BiLSTM,False,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.bilstm.ipynb,300,59,50,True,True,13.0,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_132 subset · regime v2-plateau-300.
gislr,bilstm,1784447175,2026-07-19T13:46:15,ME_126,xy,0.6581,pending,,,,,0.6581,126,252,2751218,250,BiLSTM,False,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.bilstm.ipynb,300,12,11,False,False,19.8,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_126 subset · regime v2-plateau-300.
gislr,cnn1d,1784400020,2026-07-19T00:40:20,ME_132,xy,0.5413844199830652,canonical,0.5413844199830652,0.5394400089164457,0.5513157894736842,98.0,0.5414,132,264,732426,250,CausalConv1D,True,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.cnn1d.ipynb,300,144,142,True,True,20.6,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_132 subset · regime v2-plateau-300.
gislr,cnn1d,1784451163,2026-07-19T14:52:43,FP_118,xy,0.5407,pending,,,,,0.5407,118,236,696530,250,CausalConv1D,True,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.cnn1d.ipynb,300,157,155,True,True,28.7,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,FP_118 subset · regime v2-plateau-300.
gislr,cnn1d,1784449360,2026-07-19T14:22:40,ME_132,xy,0.54,pending,,,,,0.54,132,264,732426,250,CausalConv1D,True,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.cnn1d.ipynb,300,153,148,True,True,30.0,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_132 subset · regime v2-plateau-300.
gislr,cnn1d,1784447182,2026-07-19T13:46:22,ME_126,xy,0.5375,pending,,,,,0.5375,126,252,717042,250,CausalConv1D,True,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.cnn1d.ipynb,300,131,127,True,True,34.6,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_126 subset · regime v2-plateau-300.
gislr,cnn1d,1784399151,2026-07-19T00:25:51,ME_126,xy,0.5363039796782387,canonical,0.5363039796782387,0.534467779792512,0.5428571428571428,95.0,0.5365,126,252,717042,250,CausalConv1D,True,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.cnn1d.ipynb,300,134,129,True,True,14.4,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,ME_126 subset · regime v2-plateau-300.
gislr,cnn1d,1784401260,2026-07-19T01:01:00,FP_118,xy,0.5343988145639289,canonical,0.5343988145639289,0.5326129048879413,0.5395010395010396,95.0,0.5344,118,236,696530,250,CausalConv1D,True,stratified 90/10,42,9448,v2-plateau-300,gislr.1.model.cnn1d.ipynb,300,131,127,True,True,19.6,False,,,,,,1024,0.001414,256,2,0.3,0.0001,300,5.0,0.5,5,15,0.001,42,128,0,CE + label smoothing 0.1,AMP,FP_118 subset · regime v2-plateau-300.
