label,sign,accuracy_base,n_val,accuracy_me126,delta
95,give,0.2285714285714285,35,0.3142857142857143,0.08571428571428577
216,there,0.2777777777777778,36,0.3611111111111111,0.08333333333333331
21,beside,0.2903225806451613,31,0.3548387096774194,0.06451612903225806
231,vacuum,0.3548387096774194,31,0.3870967741935484,0.032258064516129004
150,nap,0.3846153846153846,39,0.3333333333333333,-0.051282051282051266
233,wake,0.4,40,0.525,0.125
11,awake,0.4,40,0.425,0.024999999999999967
180,puzzle,0.4117647058823529,34,0.5588235294117647,0.1470588235294118
126,jeans,0.4210526315789473,38,0.5263157894736842,0.10526315789473689
187,ride,0.4285714285714285,35,0.6285714285714286,0.20000000000000007
149,mouth,0.4358974358974359,39,0.3846153846153846,-0.05128205128205132
134,lips,0.45,40,0.6,0.14999999999999997
43,chin,0.4571428571428571,35,0.5714285714285714,0.11428571428571432
70,empty,0.4594594594594595,37,0.5675675675675675,0.10810810810810806
166,pajamas,0.4615384615384615,39,0.5128205128205128,0.051282051282051266
179,puppy,0.4722222222222222,36,0.5833333333333334,0.11111111111111116
80,finger,0.4736842105263157,38,0.6842105263157895,0.21052631578947378
127,jump,0.4736842105263157,38,0.6052631578947368,0.13157894736842113
167,pen,0.475,40,0.575,0.09999999999999998
161,open,0.4857142857142857,35,0.4285714285714285,-0.05714285714285722
46,close,0.4864864864864865,37,0.5945945945945946,0.10810810810810811
27,boat,0.4864864864864865,37,0.5945945945945946,0.10810810810810811
125,jacket,0.5,34,0.5882352941176471,0.08823529411764708
202,snack,0.5,38,0.5789473684210527,0.07894736842105265
136,look,0.5121951219512195,41,0.5121951219512195,0.0
3,all,0.5128205128205128,39,0.5641025641025641,0.05128205128205132
222,tongue,0.5135135135135135,37,0.6756756756756757,0.16216216216216217
199,sleep,0.5263157894736842,38,0.5789473684210527,0.052631578947368474
112,helicopter,0.5263157894736842,38,0.6842105263157895,0.1578947368421053
152,night,0.5294117647058824,34,0.5588235294117647,0.02941176470588236
96,glasswindow,0.5384615384615384,39,0.6666666666666666,0.1282051282051282
85,flag,0.5384615384615384,39,0.7692307692307693,0.23076923076923084
97,go,0.5384615384615384,39,0.5128205128205128,-0.02564102564102566
20,before,0.5428571428571428,35,0.5714285714285714,0.02857142857142858
170,person,0.5483870967741935,31,0.6451612903225806,0.09677419354838712
74,fall,0.5526315789473685,38,0.631578947368421,0.07894736842105254
191,say,0.5526315789473685,38,0.6842105263157895,0.13157894736842102
185,red,0.5526315789473685,38,0.6578947368421053,0.10526315789473684
76,fast,0.5555555555555556,36,0.5277777777777778,-0.02777777777777779
111,hear,0.5609756097560976,41,0.5853658536585366,0.024390243902438935
98,goose,0.5641025641025641,39,0.6153846153846154,0.05128205128205132
18,bedroom,0.5641025641025641,39,0.5897435897435898,0.02564102564102566
241,will,0.5675675675675675,37,0.6216216216216216,0.05405405405405406
153,no,0.5675675675675675,37,0.6216216216216216,0.05405405405405406
12,backyard,0.5675675675675675,37,0.5945945945945946,0.027027027027027084
28,book,0.5675675675675675,37,0.6486486486486487,0.08108108108108114
66,dryer,0.5675675675675675,37,0.5945945945945946,0.027027027027027084
71,every,0.5675675675675675,37,0.6216216216216216,0.05405405405405406
5,animal,0.5714285714285714,35,0.6285714285714286,0.05714285714285716
45,clean,0.5714285714285714,35,0.6571428571428571,0.08571428571428574
139,make,0.575,40,0.6,0.025000000000000022
215,that,0.5789473684210527,38,0.4473684210526316,-0.13157894736842107
13,bad,0.5789473684210527,38,0.6842105263157895,0.10526315789473684
235,wet,0.5789473684210527,38,0.5526315789473685,-0.02631578947368418
115,hesheit,0.5833333333333334,36,0.6666666666666666,0.08333333333333326
